Timestamp,Quantity,Location,Measurement Value (db or lux),Email Address,Your 4 digit ID
1/14/2020 13:48:22,"Sound pressure level, SPL (dBA)",On a bus (while bus is stopped),65,,5555
1/14/2020 18:37:34,"Sound pressure level, SPL (dBA)",Starbucks at a table,74.1,,8786
1/14/2020 18:39:57,"Sound pressure level, SPL (dBA)",Starbucks at a table,76.5,,5402
1/14/2020 18:45:33,"Sound pressure level, SPL (dBA)",Starbucks at a table,73,,6286
1/14/2020 21:32:38,"Sound pressure level, SPL (dBA)",In class (on writing desk),48,,5402
1/14/2020 21:35:51,"Sound pressure level, SPL (dBA)",In class (on writing desk),35.6,,8786
1/14/2020 21:48:09,"Sound pressure level, SPL (dBA)",In the car,67,,8786
1/14/2020 22:01:22,"Sound pressure level, SPL (dBA)",your bed at night,30,,8786
1/15/2020 2:05:34,"Sound pressure level, SPL (dBA)",In the car,77.3,,5402
1/15/2020 10:15:36,"Sound pressure level, SPL (dBA)",your bed at night,33,,5402
1/15/2020 13:18:19,"Sound pressure level, SPL (dBA)",In class (on writing desk),58.9,,0289
1/15/2020 15:28:28,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Cloudy,56.8,,8786
1/15/2020 15:29:10,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Cloudy,51.7,,5402
1/15/2020 16:12:19,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),47.8,,8786
1/15/2020 16:12:32,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),48.4,,5402
1/15/2020 16:15:11,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",93,,8786
1/15/2020 16:15:48,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",51.7,,5402
1/15/2020 16:16:48,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",89.4,,5402
1/15/2020 16:16:50,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",86.4,,8786
1/15/2020 16:19:01,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),73.5,,8786
1/15/2020 16:19:02,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),75.1,,5402
1/15/2020 17:26:02,Light Flux,In class (on writing desk),310,,8412
1/15/2020 17:26:34,Light Flux,Outdoors by GIX: Cloudy,154,,8412
1/15/2020 17:27:04,Light Flux,Starbucks at a table,87,,8412
1/15/2020 17:27:30,Light Flux,In the car,55,,8412
1/15/2020 17:28:38,Light Flux,your bed at night,2,,8412
1/15/2020 18:40:04,Light Flux,In class (on writing desk),368,,2733
1/15/2020 18:40:33,Light Flux,In class (on writing desk),338,,2733
1/15/2020 18:40:53,Light Flux,In class (on writing desk),340,,2733
1/15/2020 18:44:19,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",703,,2733
1/15/2020 18:44:41,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",704,,2733
1/15/2020 18:44:58,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",700,,2733
1/15/2020 18:48:18,Light Flux,breakfast table,371,,2733
1/15/2020 18:48:52,Light Flux,breakfast table,401,,2733
1/15/2020 18:49:12,Light Flux,breakfast table,402,,2733
1/16/2020 9:29:41,"Sound pressure level, SPL (dBA)",your bed at night,40.2,,0289
1/16/2020 9:29:53,"Sound pressure level, SPL (dBA)",breakfast table,51.5,,0289
1/16/2020 9:30:06,"Sound pressure level, SPL (dBA)",Starbucks at a table,65.4,,0289
